#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,9.992775E-01,9.981227E-01,9.953705E-01,9.893410E-01,9.773319E-01,9.557104E-01,9.205543E-01,8.687896E-01,7.994151E-01,7.143143E-01,6.180654E-01,5.170168E-01,4.176894E-01,3.258913E-01,2.455778E-01,1.786204E-01,1.254737E-01,8.501361E-02,5.553220E-02,3.491132E-02,2.104354E-02,1.212313E-02,6.606294E-03,3.374988E-03,1.575722E-03,6.577111E-04,2.309843E-04,6.505295E-05,8.995647E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,9.990830E-01,9.976430E-01,9.942774E-01,9.870722E-01,9.730780E-01,9.485265E-01,9.096121E-01,8.536869E-01,7.804227E-01,6.923823E-01,5.946325E-01,4.936810E-01,3.958885E-01,3.066784E-01,2.294327E-01,1.656969E-01,1.155741E-01,7.771524E-02,5.039351E-02,3.140390E-02,1.876342E-02,1.069032E-02,5.751512E-03,2.887390E-03,1.316299E-03,5.298576E-04,1.748668E-04,4.398006E-05,3.404145E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.994016E-01,9.984338E-01,9.960938E-01,9.908771E-01,9.802830E-01,9.608171E-01,9.285176E-01,8.800229E-01,8.138298E-01,7.312465E-01,6.364497E-01,5.355657E-01,4.352232E-01,3.414908E-01,2.587558E-01,1.892793E-01,1.336751E-01,9.109551E-02,5.984123E-02,3.786544E-02,2.298114E-02,1.334178E-02,7.346422E-03,3.795775E-03,1.807323E-03,7.709160E-04,2.844330E-04,8.497218E-05,1.600905E-05,1.314792E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,9.987867E-01,9.969268E-01,9.926859E-01,9.838603E-01,9.672291E-01,9.389311E-01,8.953943E-01,8.345579E-01,7.569211E-01,6.657834E-01,5.667199E-01,4.663181E-01,3.706824E-01,2.846967E-01,2.111209E-01,1.511787E-01,1.045150E-01,6.965374E-02,4.474574E-02,2.759045E-02,1.630593E-02,9.156702E-03,4.848980E-03,2.376207E-03,1.051111E-03,4.008210E-04,1.218116E-04,2.473781E-05,2.756368E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.994754E-01,9.986211E-01,9.965361E-01,9.918334E-01,9.821557E-01,9.641213E-01,9.337683E-01,8.875617E-01,8.236619E-01,7.429607E-01,6.493309E-01,5.487006E-01,4.477563E-01,3.527542E-01,2.683021E-01,1.970457E-01,1.396762E-01,9.556003E-02,6.302892E-02,4.004328E-02,2.442881E-02,1.425141E-02,7.904487E-03,4.114741E-03,1.983962E-03,8.587663E-04,3.260767E-04,1.016665E-04,2.178038E-05,7.025193E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,9.983414E-01,9.958779E-01,9.904242E-01,9.794422E-01,9.594489E-01,9.265787E-01,8.776476E-01,8.113526E-01,7.291300E-01,6.350381E-01,5.350992E-01,4.358715E-01,3.430482E-01,2.608530E-01,1.915210E-01,1.358057E-01,9.291560E-02,6.128787E-02,3.892442E-02,2.371355E-02,1.382363E-02,7.634182E-03,3.963300E-03,1.885488E-03,8.030550E-04,2.848748E-04,7.792965E-05,1.061142E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.995105E-01,9.987109E-01,9.967507E-01,9.923035E-01,9.830896E-01,9.657932E-01,9.364622E-01,8.914799E-01,8.288332E-01,7.491775E-01,6.562331E-01,5.557888E-01,4.545542E-01,3.589005E-01,2.735156E-01,2.013065E-01,1.429792E-01,9.800438E-02,6.478674E-02,4.124072E-02,2.522934E-02,1.475451E-02,8.214970E-03,4.292713E-03,2.083053E-03,9.087795E-04,3.500575E-04,1.116663E-04,2.549171E-05,1.288798E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,9.976803E-01,9.943666E-01,9.872755E-01,9.735126E-01,9.493843E-01,9.111578E-01,8.562160E-01,7.841763E-01,6.974524E-01,6.008413E-01,5.006966E-01,4.033654E-01,3.139947E-01,2.361284E-01,1.714743E-01,1.202448E-01,8.133488E-02,5.302547E-02,3.324222E-02,1.997995E-02,1.145639E-02,6.206770E-03,3.141453E-03,1.443342E-03,5.825892E-04,1.887962E-04,4.304872E-05,2.463088E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.995123E-01,9.987160E-01,9.967641E-01,9.923357E-01,9.831592E-01,9.659274E-01,9.366923E-01,8.918318E-01,8.293162E-01,7.497687E-01,6.569123E-01,5.564983E-01,4.552543E-01,3.595461E-01,2.740508E-01,2.017476E-01,1.433250E-01,9.826252E-02,6.497923E-02,4.136934E-02,2.532416E-02,1.481597E-02,8.255518E-03,4.317222E-03,2.097911E-03,9.171148E-04,3.546710E-04,1.141500E-04,2.640391E-05,1.743722E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,9.967107E-01,9.922248E-01,9.829800E-01,9.657375E-01,9.366953E-01,8.924292E-01,8.310750E-01,7.532979E-01,6.624566E-01,5.640116E-01,4.644808E-01,3.697887E-01,2.844572E-01,2.113953E-01,1.517077E-01,1.050934E-01,7.021017E-02,4.517892E-02,2.792680E-02,1.652821E-02,9.301474E-03,4.930615E-03,2.419621E-03,1.067519E-03,4.013516E-04,1.160350E-04,1.923368E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
