#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='SA(0.025)'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,9.999879E-01,9.999677E-01,9.999073E-01,9.997228E-01,9.991664E-01,9.975636E-01,9.932892E-01,9.830117E-01,9.611624E-01,9.205844E-01,8.550674E-01,7.629063E-01,6.491803E-01,5.247483E-01,4.025926E-01,2.933886E-01,2.034916E-01,1.346320E-01,8.514734E-02,5.156191E-02,2.981220E-02,1.642414E-02,8.568321E-03,4.194442E-03,1.907040E-03,7.846612E-04,2.781574E-04,7.584137E-05,1.311610E-05,3.246412E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,9.999823E-01,9.999512E-01,9.998570E-01,9.995693E-01,9.987122E-01,9.963049E-01,9.901185E-01,9.759191E-01,9.472924E-01,8.970593E-01,8.204646E-01,7.184911E-01,5.989348E-01,4.739932E-01,3.561617E-01,2.544442E-01,1.731966E-01,1.126149E-01,7.005139E-02,4.169644E-02,2.368123E-02,1.276902E-02,6.507813E-03,3.094061E-03,1.349944E-03,5.277097E-04,1.722301E-04,3.939109E-05,4.170581E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.999909E-01,9.999763E-01,9.999332E-01,9.998023E-01,9.994051E-01,9.982436E-01,9.950689E-01,9.871831E-01,9.697580E-01,9.359891E-01,8.790000E-01,7.952628E-01,6.875753E-01,5.652175E-01,4.409781E-01,3.266335E-01,2.300680E-01,1.544435E-01,9.900748E-02,6.073936E-02,3.562322E-02,1.993540E-02,1.058811E-02,5.294973E-03,2.474623E-03,1.057526E-03,3.965999E-04,1.197643E-04,2.622088E-05,2.481446E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,9.999714E-01,9.999185E-01,9.997569E-01,9.992663E-01,9.978380E-01,9.939769E-01,9.845509E-01,9.641979E-01,9.258292E-01,8.630089E-01,7.735156E-01,6.617422E-01,5.381203E-01,4.153958E-01,3.047014E-01,2.127660E-01,1.417671E-01,9.034611E-02,5.511003E-02,3.211436E-02,1.782412E-02,9.372178E-03,4.622780E-03,2.114023E-03,8.768800E-04,3.151002E-04,9.082507E-05,1.635368E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.999924E-01,9.999807E-01,9.999464E-01,9.998426E-01,9.995275E-01,9.985982E-01,9.960221E-01,9.894950E-01,9.747148E-01,9.452627E-01,8.940518E-01,8.164988E-01,7.137924E-01,5.938825E-01,4.690436E-01,3.516254E-01,2.505480E-01,1.700434E-01,1.101448E-01,6.823020E-02,4.041069E-02,2.286636E-02,1.229956E-02,6.237069E-03,2.970319E-03,1.301600E-03,5.050575E-04,1.605736E-04,3.970329E-05,5.569560E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,9.999491E-01,9.998506E-01,9.995493E-01,9.986514E-01,9.961316E-01,9.896746E-01,9.749258E-01,9.453881E-01,8.939587E-01,8.161815E-01,7.134326E-01,5.937599E-01,4.693646E-01,3.524078E-01,2.517436E-01,1.714799E-01,1.115974E-01,6.957513E-02,4.145417E-02,2.356774E-02,1.271985E-02,6.471234E-03,3.071936E-03,1.332395E-03,5.115107E-04,1.662241E-04,3.857329E-05,3.960052E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.999931E-01,9.999826E-01,9.999520E-01,9.998597E-01,9.995793E-01,9.987502E-01,9.964388E-01,9.905322E-01,9.770075E-01,9.496993E-01,9.015094E-01,8.273897E-01,7.276936E-01,6.095638E-01,4.848315E-01,3.660259E-01,2.626292E-01,1.794065E-01,1.169398E-01,7.288811E-02,4.339740E-02,2.471330E-02,1.339631E-02,6.835215E-03,3.291232E-03,1.464843E-03,5.758717E-04,1.863695E-04,4.955264E-05,8.365200E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,9.999010E-01,9.997032E-01,9.991053E-01,9.973820E-01,9.927972E-01,9.818377E-01,9.587536E-01,9.163967E-01,8.489197E-01,7.552694E-01,6.410505E-01,5.172600E-01,3.964737E-01,2.889817E-01,2.007566E-01,1.331948E-01,8.456404E-02,5.139489E-02,2.983705E-02,1.646706E-02,8.597279E-03,4.207165E-03,1.894304E-03,7.673857E-04,2.659865E-04,7.221846E-05,1.250016E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.999931E-01,9.999827E-01,9.999520E-01,9.998596E-01,9.995790E-01,9.987505E-01,9.964445E-01,9.905620E-01,9.771140E-01,9.499905E-01,9.021453E-01,8.285261E-01,7.294201E-01,6.117930E-01,4.873671E-01,3.685645E-01,2.649477E-01,1.813721E-01,1.184696E-01,7.401048E-02,4.413585E-02,2.519063E-02,1.369537E-02,7.004915E-03,3.389034E-03,1.516384E-03,5.988390E-04,1.959219E-04,5.400353E-05,9.329457E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,9.997922E-01,9.993724E-01,9.981395E-01,9.947639E-01,9.863954E-01,9.680179E-01,9.327631E-01,8.740271E-01,7.889034E-01,6.807821E-01,5.591488E-01,4.363861E-01,3.238274E-01,2.289351E-01,1.545142E-01,9.977134E-02,6.166532E-02,3.644745E-02,2.052934E-02,1.095235E-02,5.490858E-03,2.558188E-03,1.079300E-03,3.960214E-04,1.174160E-04,2.526214E-05,1.616884E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
