#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,8.925862E-01,8.397449E-01,7.739006E-01,6.969368E-01,6.121081E-01,5.234694E-01,4.355265E-01,3.522290E-01,2.766002E-01,2.109233E-01,1.561316E-01,1.120341E-01,7.797193E-02,5.254577E-02,3.420183E-02,2.149297E-02,1.295833E-02,7.452607E-03,4.059755E-03,2.044054E-03,9.381733E-04,3.670404E-04,1.197015E-04,2.664353E-05,1.224605E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,8.823467E-01,8.267516E-01,7.584799E-01,6.797233E-01,5.939384E-01,5.053176E-01,4.182326E-01,3.363998E-01,2.627716E-01,1.993283E-01,1.467181E-01,1.047079E-01,7.247100E-02,4.853154E-02,3.139318E-02,1.958888E-02,1.170834E-02,6.673107E-03,3.586531E-03,1.774920E-03,7.952637E-04,2.966964E-04,9.133613E-05,1.590739E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.002696E-01,8.496275E-01,7.857671E-01,7.103308E-01,6.263794E-01,5.378509E-01,4.493107E-01,3.649138E-01,2.877554E-01,2.203193E-01,1.637879E-01,1.180269E-01,8.248845E-02,5.585087E-02,3.653421E-02,2.307335E-02,1.400371E-02,8.111304E-03,4.457963E-03,2.276098E-03,1.060792E-03,4.292613E-04,1.458389E-04,3.712058E-05,3.491051E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,8.694910E-01,8.106959E-01,7.396872E-01,6.590050E-01,5.723292E-01,4.839328E-01,3.979906E-01,3.180354E-01,2.468491E-01,1.860351E-01,1.360069E-01,9.642942E-02,6.626837E-02,4.404550E-02,2.827561E-02,1.748052E-02,1.034128E-02,5.826115E-03,3.076250E-03,1.490594E-03,6.436238E-04,2.268925E-04,6.319151E-05,7.203561E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.054626E-01,8.563801E-01,7.939519E-01,7.196484E-01,6.363809E-01,5.480018E-01,4.590938E-01,3.739374E-01,2.957359E-01,2.270707E-01,1.692908E-01,1.223564E-01,8.576363E-02,5.824700E-02,3.823201E-02,2.423028E-02,1.476755E-02,8.598865E-03,4.749058E-03,2.448439E-03,1.153013E-03,4.757144E-04,1.669592E-04,4.488563E-05,6.255156E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,8.540130E-01,7.917079E-01,7.178082E-01,6.352217E-01,5.478650E-01,4.599639E-01,3.754907E-01,2.978539E-01,2.294907E-01,1.716263E-01,1.245212E-01,8.761126E-02,5.969543E-02,3.934202E-02,2.502888E-02,1.530114E-02,8.945000E-03,4.961479E-03,2.567204E-03,1.211800E-03,4.974159E-04,1.637788E-04,3.792289E-05,1.941370E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.081706E-01,8.599269E-01,7.982740E-01,7.246002E-01,6.417161E-01,5.534351E-01,4.643539E-01,3.787795E-01,3.000233E-01,2.307131E-01,1.722492E-01,1.246864E-01,8.753674E-02,5.953402E-02,3.914939E-02,2.485992E-02,1.517847E-02,8.863327E-03,4.904555E-03,2.542486E-03,1.204449E-03,5.005898E-04,1.795454E-04,4.896917E-05,7.811494E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,8.359793E-01,7.699981E-01,6.932248E-01,6.089170E-01,5.211850E-01,4.341117E-01,3.514932E-01,2.765801E-01,2.113492E-01,1.567031E-01,1.127475E-01,7.863694E-02,5.307123E-02,3.464685E-02,2.180158E-02,1.316894E-02,7.594997E-03,4.130793E-03,2.088279E-03,9.505636E-04,3.678818E-04,1.103742E-04,1.878160E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.084035E-01,8.602365E-01,7.986492E-01,7.250370E-01,6.421899E-01,5.539150E-01,4.648188E-01,3.791893E-01,3.003871E-01,2.310263E-01,1.724918E-01,1.248821E-01,8.769233E-02,5.964052E-02,3.923221E-02,2.492094E-02,1.521258E-02,8.889836E-03,4.918003E-03,2.553139E-03,1.211455E-03,5.041843E-04,1.820076E-04,4.994603E-05,8.326411E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,8.155277E-01,7.458587E-01,6.663817E-01,5.806851E-01,4.929383E-01,4.070536E-01,3.267300E-01,2.548675E-01,1.929967E-01,1.418004E-01,1.011018E-01,6.982158E-02,4.665723E-02,3.014215E-02,1.872695E-02,1.116697E-02,6.334986E-03,3.373200E-03,1.659657E-03,7.196785E-04,2.598634E-04,6.655816E-05,6.945109E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
