#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,9.999993E-01,9.999990E-01,9.999982E-01,9.999964E-01,9.999918E-01,9.999794E-01,9.999438E-01,9.998379E-01,9.995204E-01,9.985915E-01,9.960226E-01,9.894996E-01,9.746478E-01,9.448478E-01,8.926795E-01,8.132652E-01,7.078398E-01,5.848143E-01,4.573199E-01,3.384474E-01,2.373892E-01,1.581700E-01,1.002757E-01,6.055386E-02,3.485307E-02,1.913826E-02,9.967395E-03,4.869778E-03,2.204223E-03,9.020771E-04,3.203438E-04,8.890421E-05,1.552547E-05,9.147736E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,9.999992E-01,9.999987E-01,9.999976E-01,9.999950E-01,9.999881E-01,9.999692E-01,9.999141E-01,9.997485E-01,9.992541E-01,9.978323E-01,9.940138E-01,9.846988E-01,9.644982E-01,9.261158E-01,8.626800E-01,7.715362E-01,6.570859E-01,5.302587E-01,4.048297E-01,2.926371E-01,2.006388E-01,1.307796E-01,8.117676E-02,4.803789E-02,2.712594E-02,1.455371E-02,7.385917E-03,3.502538E-03,1.522703E-03,5.870762E-04,1.900464E-04,4.485875E-05,5.209723E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.999995E-01,9.999992E-01,9.999985E-01,9.999971E-01,9.999937E-01,9.999847E-01,9.999592E-01,9.998840E-01,9.996587E-01,9.989935E-01,9.971195E-01,9.922297E-01,9.807062E-01,9.566422E-01,9.126521E-01,8.426267E-01,7.454835E-01,6.272849E-01,5.000158E-01,3.771885E-01,2.695394E-01,1.828564E-01,1.180053E-01,7.248481E-02,4.238398E-02,2.367648E-02,1.257965E-02,6.294759E-03,2.927901E-03,1.244228E-03,4.702683E-04,1.463839E-04,3.300572E-05,3.777807E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,9.999990E-01,9.999983E-01,9.999966E-01,9.999924E-01,9.999813E-01,9.999495E-01,9.998549E-01,9.995704E-01,9.987317E-01,9.963869E-01,9.903530E-01,9.764162E-01,9.480479E-01,8.977162E-01,8.201740E-01,7.161664E-01,5.937130E-01,4.658121E-01,3.457925E-01,2.432456E-01,1.624833E-01,1.033062E-01,6.259857E-02,3.620967E-02,1.995537E-02,1.042076E-02,5.107764E-03,2.321328E-03,9.573958E-04,3.427756E-04,9.725434E-05,1.692603E-05,2.087023E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.999995E-01,9.999992E-01,9.999987E-01,9.999976E-01,9.999948E-01,9.999874E-01,9.999670E-01,9.999074E-01,9.997290E-01,9.992003E-01,9.976956E-01,9.937057E-01,9.841005E-01,9.635239E-01,9.248225E-01,8.613292E-01,7.705199E-01,6.567107E-01,5.307332E-01,4.060229E-01,2.942063E-01,2.023184E-01,1.323214E-01,8.236402E-02,4.876999E-02,2.758736E-02,1.486424E-02,7.555425E-03,3.583622E-03,1.569026E-03,6.151458E-04,2.031461E-04,5.122672E-05,7.627947E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,9.999987E-01,9.999975E-01,9.999947E-01,9.999875E-01,9.999674E-01,9.999085E-01,9.997315E-01,9.992028E-01,9.976826E-01,9.936101E-01,9.837208E-01,9.624176E-01,9.222837E-01,8.566074E-01,7.632404E-01,6.472288E-01,5.199344E-01,3.951201E-01,2.842973E-01,1.941094E-01,1.260303E-01,7.798022E-02,4.605681E-02,2.594987E-02,1.388916E-02,7.006724E-03,3.290386E-03,1.417894E-03,5.403064E-04,1.720458E-04,3.972632E-05,4.277893E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.999995E-01,9.999993E-01,9.999988E-01,9.999977E-01,9.999952E-01,9.999886E-01,9.999704E-01,9.999173E-01,9.997587E-01,9.992882E-01,9.979438E-01,9.943552E-01,9.856346E-01,9.667332E-01,9.306965E-01,8.706877E-01,7.835000E-01,6.725060E-01,5.477680E-01,4.225031E-01,3.087128E-01,2.140334E-01,1.411279E-01,8.861700E-02,5.290403E-02,3.012746E-02,1.638591E-02,8.407576E-03,4.028692E-03,1.790512E-03,7.161736E-04,2.445363E-04,6.541753E-05,1.059737E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,9.999980E-01,9.999960E-01,9.999909E-01,9.999772E-01,9.999377E-01,9.998195E-01,9.994642E-01,9.984237E-01,9.955518E-01,9.882993E-01,9.719408E-01,9.395414E-01,8.837236E-01,8.002596E-01,6.915046E-01,5.668398E-01,4.396910E-01,3.227901E-01,2.246415E-01,1.486244E-01,9.366986E-02,5.632019E-02,3.235016E-02,1.767631E-02,9.132549E-03,4.418165E-03,1.966863E-03,7.859982E-04,2.683915E-04,7.191207E-05,1.204431E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.999995E-01,9.999993E-01,9.999988E-01,9.999977E-01,9.999952E-01,9.999886E-01,9.999704E-01,9.999173E-01,9.997586E-01,9.992879E-01,9.979450E-01,9.943658E-01,9.856831E-01,9.668924E-01,9.311045E-01,8.715341E-01,7.849414E-01,6.746025E-01,5.503948E-01,4.253969E-01,3.115464E-01,2.165587E-01,1.432174E-01,9.019810E-02,5.404736E-02,3.088511E-02,1.685323E-02,8.672371E-03,4.178491E-03,1.874252E-03,7.561983E-04,2.610720E-04,7.060331E-05,1.161937E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,9.999968E-01,9.999931E-01,9.999831E-01,9.999548E-01,9.998708E-01,9.996181E-01,9.988690E-01,9.967560E-01,9.912549E-01,9.783781E-01,9.517959E-01,9.039657E-01,8.292739E-01,7.278022E-01,6.069256E-01,4.792585E-01,3.581112E-01,2.535625E-01,1.705173E-01,1.092307E-01,6.677081E-02,3.897129E-02,2.167470E-02,1.143838E-02,5.666728E-03,2.595876E-03,1.078083E-03,3.891035E-04,1.140261E-04,2.301130E-05,1.555080E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
